backbone,dataset,accuracy,C_vs_A_pct,C_vs_A_sem,C_vs_D_pct,C_vs_D_sem
3D-CNN,botswana,,0.870840648158713,2.4529813404807763,0.47741869679327237,2.333527715463659
3D-CNN,ip,,15.48065016494387,0.8965362034996912,23.271727367257643,1.1188015149246109
3D-CNN,ksc,,9.650802661213328,1.8739782990630265,16.728751447175533,2.0393810773018783
3D-CNN,pu,,6.865822663594294,0.9666620986759746,9.939150946949344,0.8890261151604735
3D-CNN,sa,,6.504292495518007,0.4679496336312829,9.596220192352272,0.4794472594053875
SSFormer,botswana,0.9725817211474317,-1.2503490585863497,1.5518078135234556,-0.8196946032821708,2.470800281280008
SSFormer,ip,0.7936400000000001,8.710059317032115,0.8408773273382796,18.590547263636708,1.144288953501083
SSFormer,ksc,0.7067311567916164,10.452180639482956,1.3610724475036453,19.22793065145028,0.8600823145139876
SSFormer,pu,0.9180783520669709,2.6246941774668597,0.6114970508853284,5.721785618419981,0.691935249875732
SSFormer,sa,0.9018930957683742,6.383229801925143,0.3462407766077293,10.752820592523348,0.41242308348205137
