alpha,method,is_mean,is_std,cov_mean,size_mean,sscv_mean,sscv_std,n
0.05,A,3.5339639826214033,0.6597468153753527,0.9505544058439236,1.5561402163783469,6.71871781341893,4.268112884966015,50
0.05,B,3.3799613520378857,0.5001606601023012,0.9506956886639607,1.4077888985963112,6.186653718854634,5.097403167344099,50
0.05,C,2.9904886461266202,0.32214782661604424,0.961013734183759,1.4310380134769825,6.588785060670529,4.5735577739508,50
0.05,D,3.845165562712793,0.7973674070715252,0.9497884246490628,1.8367025486753021,8.143758476055371,8.182122820846423,50
0.1,A,3.283565131469902,0.40103367541891993,0.9000819127380801,1.285203386231503,9.37853572573401,5.023885262494273,50
0.1,B,3.20438699606417,0.3334523548140477,0.9001765000411949,1.2079169968880692,11.692548843358463,8.188009614037401,50
0.1,C,3.003534291064578,0.21236737912176418,0.9129793862264975,1.2631220155945284,11.501678452282183,12.083977491507367,50
0.1,D,3.4641002880651968,0.5585543278345526,0.9004478625570465,1.473057539206127,12.931641458872969,14.633415398289372,50
0.15,A,3.1466920426246703,0.2744283678092153,0.8497076289496767,1.142793761953691,16.47655800310915,11.052079052882686,50
0.15,B,3.1020158750536324,0.2453021043260833,0.8494132219968984,1.09419216834561,17.240841732941885,10.656563053734603,50
0.15,C,3.0200317856064323,0.19441530702706347,0.8602195850391772,1.1562929194621272,17.43785164310119,13.451545775935752,50
0.15,D,3.286041057558196,0.3883164369153902,0.8491189075620936,1.2742931583861103,13.581060953564366,5.626394807372482,50
