experiment,config_id,alpha,method,best_bw,is,cov,size,sscv_pct,dataset,seed,tile,size_px
HSI,botswana_seed0,0.05,E,50,3.288859239492995,0.9446297531687792,1.0740493662441628,19.999999999999996,botswana,0.0,,
HSI,botswana_seed0,0.1,E,50,2.979986657771848,0.8999332888592395,0.9786524349566378,56.666666666666664,botswana,0.0,,
HSI,botswana_seed0,0.15,E,50,2.9344007115855018,0.8485657104736491,0.9152768512341561,85.0,botswana,0.0,,
HSI,botswana_seed1,0.05,E,50,2.629086057371581,0.9666444296197465,1.294863242161441,5.000000000000004,botswana,1.0,,
HSI,botswana_seed1,0.1,E,50,2.8532354903268846,0.9112741827885257,1.0787191460973982,9.999999999999998,botswana,1.0,,
HSI,botswana_seed1,0.15,E,50,2.8959306204136093,0.8579052701801201,1.0013342228152102,15.000000000000002,botswana,1.0,,
HSI,botswana_seed2,0.05,E,100,3.1400933955970647,0.9486324216144096,1.0853902601734489,5.000000000000004,botswana,2.0,,
HSI,botswana_seed2,0.1,E,100,2.993995997331554,0.8999332888592395,0.9926617745163442,9.999999999999998,botswana,2.0,,
HSI,botswana_seed2,0.15,E,100,2.876584389593062,0.8539026017344896,0.9286190793862575,15.000000000000002,botswana,2.0,,
HSI,botswana_seed3,0.05,E,100,2.9199466310873916,0.9546364242828552,1.105403602401601,5.000000000000004,botswana,3.0,,
HSI,botswana_seed3,0.1,E,100,3.0420280186791193,0.8972648432288192,0.9873248832555037,9.999999999999998,botswana,3.0,,
HSI,botswana_seed3,0.15,E,100,3.0851678897042474,0.8365577051367579,0.9059372915276851,15.000000000000002,botswana,3.0,,
HSI,botswana_seed4,0.05,E,100,3.0440293529019344,0.9499666444296198,1.0426951300867244,5.000000000000004,botswana,4.0,,
HSI,botswana_seed4,0.1,E,100,2.7004669779853234,0.9139426284189459,0.9793195463642428,9.999999999999998,botswana,4.0,,
HSI,botswana_seed4,0.15,E,100,2.6880142317100293,0.867244829886591,0.9179452968645764,12.560975609756097,botswana,4.0,,
HSI,botswana_seed5,0.05,E,50,3.076050700466978,0.9492995330220146,1.0480320213475651,5.000000000000004,botswana,5.0,,
HSI,botswana_seed5,0.1,E,50,2.8332221480987325,0.9066044029352902,0.9653102068045364,9.999999999999998,botswana,5.0,,
HSI,botswana_seed5,0.15,E,50,2.91572159217256,0.8485657104736491,0.8965977318212142,11.811819595645412,botswana,5.0,,
HSI,botswana_seed6,0.05,E,50,3.1587725150100066,0.9486324216144096,1.104069379586391,5.000000000000004,botswana,6.0,,
HSI,botswana_seed6,0.1,E,50,2.932621747831888,0.9039359573048699,1.0113408939292863,6.911196911196904,botswana,6.0,,
HSI,botswana_seed6,0.15,E,50,3.029797642873027,0.8425617078052035,0.9306204136090727,18.333333333333336,botswana,6.0,,
HSI,botswana_seed7,0.05,E,50,3.1501000667111407,0.9479653102068045,1.0687124749833221,13.181818181818173,botswana,7.0,,
HSI,botswana_seed7,0.1,E,50,2.9686457638425616,0.9006004002668445,0.980653769179453,9.999999999999998,botswana,7.0,,
HSI,botswana_seed7,0.15,E,50,2.894596397598399,0.8519012675116745,0.9199466310873916,11.912114014251785,botswana,7.0,,
HSI,botswana_seed8,0.05,E,100,3.3602401601067378,0.9419613075383589,1.038692461641094,5.000000000000004,botswana,8.0,,
HSI,botswana_seed8,0.1,E,100,2.90260173448966,0.9039359573048699,0.981320880587058,9.999999999999998,botswana,8.0,,
HSI,botswana_seed8,0.15,E,100,2.836557705136758,0.8559039359573049,0.9152768512341561,15.000000000000002,botswana,8.0,,
HSI,botswana_seed9,0.05,E,100,2.826551034022682,0.9559706470980653,1.0653769179452968,5.000000000000004,botswana,9.0,,
HSI,botswana_seed9,0.1,E,100,3.0433622414943295,0.8965977318212142,0.9753168779186124,9.999999999999998,botswana,9.0,,
HSI,botswana_seed9,0.15,E,100,2.791194129419613,0.8599066044029353,0.923282188125417,15.000000000000002,botswana,9.0,,
HSI,ip_seed0,0.05,E,10,4.6814,0.9548,2.8734,3.156682027649771,ip,0.0,,
