dataset,seed,alpha,method,is,cov,size,sscv_pct
botswana,0,0.05,D,3.264843228819213,0.9446297531687792,1.0500333555703802,44.99999999999999
botswana,0,0.05,A,3.212141427618412,0.9446297531687792,0.9973315543695798,5.000000000000004
botswana,0,0.05,B,3.2981987991994663,0.9419613075383589,0.9766511007338226,5.000000000000004
botswana,0,0.05,C,2.85657104736491,0.9533022014676451,0.9886591060707138,5.000000000000004
botswana,0,0.1,D,2.9626417611741163,0.9006004002668445,0.9746497665110073,40.0
botswana,0,0.1,A,3.0987324883255503,0.8919279519679787,0.9372915276851234,9.999999999999998
botswana,0,0.1,B,2.90660440293529,0.9012675116744496,0.9319546364242829,9.999999999999998
botswana,0,0.1,C,2.8438959306204135,0.904603068712475,0.9359573048699132,9.999999999999998
botswana,0,0.15,D,2.992884144985546,0.8432288192128086,0.9026017344896597,12.215592680986475
botswana,0,0.15,A,2.9179452968645765,0.847898599066044,0.8899266177451635,15.000000000000002
botswana,0,0.15,B,2.830553702468312,0.8539026017344896,0.8825883922615076,15.000000000000002
botswana,0,0.15,C,2.689348454525239,0.8652434956637759,0.8925950633755837,15.000000000000002
botswana,1,0.05,D,2.893262174783189,0.9579719813208806,1.2121414276184124,5.000000000000004
botswana,1,0.05,A,2.826551034022682,0.9586390927284857,1.1721147431621082,5.000000000000004
botswana,1,0.05,B,2.8425617078052037,0.9553035356904603,1.0547031354236158,3.876404494382024
botswana,1,0.05,C,2.6924616410940625,0.9606404269513009,1.1180787191460975,5.000000000000004
botswana,1,0.1,D,2.5990660440293527,0.923949299533022,1.0780520346897933,9.999999999999998
botswana,1,0.1,A,2.8192128085390262,0.9112741827885257,1.0446964643095398,9.999999999999998
botswana,1,0.1,B,2.753835890593729,0.9119412941961308,0.9926617745163442,9.999999999999998
botswana,1,0.1,C,2.7825216811207474,0.9132755170113409,1.0480320213475651,9.999999999999998
botswana,1,0.15,D,2.9344007115855018,0.8525683789192795,0.9686457638425617,15.000000000000002
botswana,1,0.15,A,2.9068267734044917,0.8552368245496998,0.9766511007338226,15.000000000000002
botswana,1,0.15,B,2.875250166777852,0.8539026017344896,0.9272848565710473,15.000000000000002
botswana,1,0.15,C,2.694462975316878,0.8719146097398266,0.9866577718478986,15.000000000000002
botswana,2,0.05,D,3.3602401601067378,0.9426284189459639,1.0653769179452968,5.000000000000004
botswana,2,0.05,A,2.5383589059372915,0.9633088725817212,1.0707138092061375,5.000000000000004
botswana,2,0.05,B,2.904603068712475,0.95263509006004,1.010006671114076,5.000000000000004
botswana,2,0.05,C,2.939292861907939,0.9513008672448299,0.9913275517011341,5.000000000000004
botswana,2,0.1,D,2.878585723815877,0.9059372915276851,0.9973315543695798,9.999999999999998
botswana,2,0.1,A,2.868579052701801,0.9066044029352902,1.0006671114076051,9.999999999999998
botswana,2,0.1,B,2.6737825216811206,0.914609739826551,0.9659773182121414,9.999999999999998
botswana,2,0.1,C,2.6604402935290192,0.914609739826551,0.95263509006004,9.999999999999998
botswana,2,0.15,D,2.8676895708249948,0.8545697131420947,0.9286190793862575,15.000000000000002
botswana,2,0.15,A,2.793862575050033,0.8619079386257505,0.95263509006004,15.000000000000002
botswana,2,0.15,B,2.612630642650656,0.8732488325550367,0.9226150767178118,15.000000000000002
botswana,2,0.15,C,2.6911274182788527,0.8659106070713809,0.9032688458972649,15.000000000000002
botswana,3,0.05,D,3.2875250166777854,0.9446297531687792,1.0727151434289526,7.592592592592585
botswana,3,0.05,A,3.1987991994663107,0.9452968645763843,1.0106737825216812,5.000000000000004
botswana,3,0.05,B,3.068045363575717,0.9479653102068045,0.9866577718478986,2.894736842105272
botswana,3,0.05,C,2.892595063375584,0.9533022014676451,1.0246831220813877,5.000000000000004
botswana,3,0.1,D,3.2168112074716477,0.8879252835223482,0.9753168779186124,9.999999999999998
botswana,3,0.1,A,3.0166777851901267,0.8965977318212142,0.9486324216144096,9.999999999999998
botswana,3,0.1,B,3.1374249499666442,0.8892595063375583,0.9226150767178118,9.999999999999998
botswana,3,0.1,C,2.9292861907938628,0.9012675116744496,0.9546364242828552,9.999999999999998
botswana,3,0.15,D,3.0976206359795415,0.8352234823215477,0.9006004002668445,15.000000000000002
botswana,3,0.15,A,2.930842784078274,0.8472314876584389,0.8939292861907938,15.000000000000002
