dataset,seed,accuracy,D_cov,D_size,D_is,A_cov,A_size,A_is,B_cov,B_size,B_is,B_r,C_cov,C_size,C_is,C_r,C_bw
ip,0,0.7128,0.899,2.0752,4.0952,0.8948,1.7476,3.8516,0.8932,1.6052,3.7412,5,0.9186,1.618,3.246,5,7
ip,1,0.6728,0.9016,2.3636,4.3316,0.8976,1.9264,3.9744,0.8982,1.7082,3.7442,5,0.9284,1.769,3.201,5,7
ip,2,0.6822,0.893,2.4718,4.6118,0.9024,2.0418,3.9938,0.9006,1.7546,3.7426,5,0.9236,1.7988,3.3268,5,10
ip,3,0.7022,0.9046,2.318,4.226,0.8938,1.8464,3.9704,0.8952,1.7034,3.7994,5,0.9164,1.6354,3.3074,5,7
ip,4,0.6928,0.9002,2.1068,4.1028,0.902,1.763,3.723,0.9002,1.504,3.5,5,0.9216,1.7768,3.3448,5,7
ip,5,0.701,0.8992,2.3146,4.3306,0.9092,1.9524,3.7684,0.9048,1.7356,3.6396,5,0.9226,1.7122,3.2602,5,10
ip,6,0.6608,0.8988,2.3246,4.3486,0.8938,2.0202,4.1442,0.8946,1.8612,3.9692,5,0.9206,1.8506,3.4386,5,10
ip,7,0.692,0.9138,2.5276,4.2516,0.9104,2.015,3.807,0.91,1.7684,3.5684,5,0.9352,1.8144,3.1104,5,7
ip,8,0.6436,0.8984,2.8158,4.8478,0.895,2.0276,4.1276,0.8952,1.7754,3.8714,5,0.9282,2.0284,3.4644,5,7
ip,9,0.7388,0.902,2.2818,4.2418,0.9106,1.9342,3.7222,0.9082,1.7394,3.5754,5,0.9224,1.7258,3.2778,5,15
pu,0,0.874382730564831,0.8999670789634576,1.1986079104547807,3.1992663311856275,0.9016601608427786,1.0617034284908056,3.028500211635235,0.9007195597987113,1.0378591920237032,3.0234679960494755,10,0.9084795184122655,1.0609509476555519,2.891360579410243,10,100
pu,1,0.8456003386163758,0.8988383577105771,1.2118233551239241,3.235056200912383,0.8988853877627804,1.1158350185768706,3.1381272633212625,0.9008606499553214,1.0933076235714623,3.0760946244650333,5,0.9065983163241311,1.1489441753280347,3.0169778488454124,5,10
pu,2,0.8691153647180548,0.8982269670319334,1.22311056765273,3.258571227014062,0.8984621172929502,1.0807505996331657,3.111508253774162,0.9031180924610827,1.0568123030616563,2.994450453840004,10,0.9107369609180266,1.1091097211117904,2.894370502751258,5,10
pu,3,0.8579222122936556,0.8988853877627804,1.1799369797300474,3.202229224474439,0.8999200489112543,1.0869115364718054,3.08851055824672,0.9001081691200677,1.0682406057470724,3.066077223345718,3,0.9141231246766683,1.1130602454968725,2.830597751963505,10,100
pu,4,0.8560880402577247,0.901189860320745,1.1948925363307152,3.171095329915816,0.901189860320745,1.0920378121619716,3.0682406057470724,0.9006254996943046,1.0666415839721581,3.054131590086065,5,0.9194375205756479,1.1276395616799135,2.7388891501669566,10,100
pu,5,0.8748060010346611,0.894887833325495,1.1427362084371913,3.2449795419272913,0.894887833325495,1.0494756149179325,3.151718948408033,0.8958284343695622,1.0362131401965857,3.1196444528053426,3,0.9143112448854819,1.0824907115646898,2.7962658138550536,10,100
pu,6,0.8646475097587358,0.9002022292244745,1.1382683534778724,3.1342237689883836,0.9007665898509147,1.0748248130555424,3.0594930160372478,0.8982269670319334,1.0560127921741993,3.0914734515355313,10,0.910125570239383,1.1036542350562009,2.9011428302685416,10,100
pu,7,0.8670930724733105,0.9022245214692188,1.1642759723463294,3.1197855429619525,0.8976626064054931,1.0668297041809716,3.1135775760711093,0.8982739970841368,1.0426562573484457,3.0771763156657106,5,0.9119127122231105,1.091050181065701,2.85279593660349,10,100
