dataset,seed,accuracy,std_cp_cov,std_cp_size,std_cp_is,sacp03_cov,sacp03_size,sacp03_is,sacp05_cov,sacp05_size,sacp05_is,sacp07_cov,sacp07_size,sacp07_is,geocp_cov,geocp_size,geocp_is,geocp_bw
ip,0,0.6866,0.9064,2.2216,4.0936,0.8918,1.911,4.075,0.8918,1.875,4.039,0.8918,1.8664,4.0304,0.9126,1.9124,3.6604,7
ip,1,0.678,0.8956,2.3152,4.4032,0.8964,1.9576,4.0296,0.897,1.8702,3.9302,0.8986,1.8434,3.8714,0.9194,1.988,3.6,3
ip,2,0.6814,0.8998,2.4664,4.4704,0.899,2.0932,4.1132,0.8972,2.0182,4.0742,0.897,1.9698,4.0298,0.9092,2.026,3.842,15
ip,3,0.6852,0.9106,2.251,4.039,0.8984,1.8206,3.8526,0.8984,1.7772,3.8092,0.8976,1.7494,3.7974,0.9074,1.8346,3.6866,15
ip,4,0.7022,0.8992,2.1016,4.1176,0.9022,1.8114,3.7674,0.9014,1.7802,3.7522,0.9018,1.7626,3.7266,0.919,1.8296,3.4496,7
ip,5,0.7118,0.9,2.3292,4.3292,0.9052,2.0338,3.9298,0.9078,1.985,3.829,0.9078,1.9578,3.8018,0.9216,1.9354,3.5034,10
ip,6,0.6618,0.9,2.312,4.312,0.8926,2.0498,4.1978,0.8952,2.0266,4.1226,0.895,2.0172,4.1172,0.9196,2.021,3.629,5
ip,7,0.695,0.9172,2.5334,4.1894,0.9104,2.046,3.838,0.9106,2.0164,3.8044,0.9132,2.006,3.742,0.922,2.0506,3.6106,10
ip,8,0.6352,0.895,2.7884,4.8884,0.8966,2.1274,4.1954,0.8964,2.0622,4.1342,0.8944,2.0184,4.1304,0.9134,2.2032,3.9352,7
ip,9,0.7434,0.9034,2.2838,4.2158,0.9092,1.9808,3.7968,0.9118,1.9446,3.7086,0.911,1.9176,3.6976,0.9154,1.7958,3.4878,15
pu,0,0.8614024361567041,0.8994027183370173,1.2015237736913889,3.2134694069510417,0.8994497483892208,1.1048770164134882,3.115882048629074,0.9010958002163383,1.0853595447490947,3.06344354042233,0.9010017401119316,1.0716737995579175,3.0516389973192872,0.9031180924610827,1.1416545172365142,3.0792926680148613,15
pu,1,0.8127263321262287,0.8947467431688849,1.3155246202323285,3.42058975685463,0.8993086582326106,1.2235338381225602,3.2373606734703477,0.9000611390678643,1.2087664017307058,3.2075436203734187,0.9010487701641349,1.2016178337957955,3.180642430513098,0.9039176033485398,1.217984291962564,3.13963222499177,20
pu,2,0.8709965668061892,0.9010487701641349,1.1972440389408832,3.1762686356581855,0.9011428302685416,1.1017260029158633,3.078869397545031,0.9018953111037953,1.0752480835253728,3.037341861449466,0.9030710624088792,1.06386681089216,3.0024455627145747,0.9120538023797207,1.1763626957625923,2.9352866481681796,10
pu,3,0.8486102619573908,0.8968160654658327,1.2042515167191836,3.26793020740253,0.8995438084936275,1.1269341108968631,3.1360579410243146,0.9002022292244745,1.1136246061233128,3.109580021633824,0.9005314395898979,1.10840427032874,3.097775478530781,0.9067394064807411,1.1594789070215867,3.024690777406763,100
pu,4,0.8550533791092508,0.9012368903729483,1.1911301321544467,3.1663923246954804,0.9017071908949819,1.110238442364671,3.0760946244650333,0.9024596717302357,1.0972581479565442,3.048064713351832,0.9024126416780323,1.0921318722663782,3.043879038705733,0.9156751163993792,1.1576447349856558,2.844142406998072,100
pu,5,0.8777688943234727,0.8983210271363401,1.1393500446785496,3.172929501951747,0.8957343742651555,1.0641960212575836,3.149508535954475,0.8961576447349856,1.049287494709119,3.126134600009406,0.8977096364576964,1.0418097164087852,3.087616987254856,0.9092319992475192,1.0937308940412924,2.909090909090909,100
pu,6,0.8728777688943234,0.9002492592766778,1.1759864553449655,3.1710012698114096,0.898697267553967,1.0762827446738465,3.102337393594507,0.900014109015661,1.0591638056718242,3.058881625358604,0.9015661007383718,1.0519211776325073,3.0205991628650706,0.9061280158020976,1.1005972816629825,2.978036965621032,100
pu,7,0.8592390537553497,0.9037765131919296,1.18459295489818,3.109062691059587,0.9017071908949819,1.1035601749517943,3.069416357052156,0.8998259888068476,1.086958566524009,3.0904387903870574,0.9004844095376946,1.079621878380285,3.0699336876263934,0.9115835018576871,1.139397074730753,2.9077270375770117,100
pu,8,0.879650096411607,0.8982739970841368,1.1772562667544562,3.2117763250717206,0.8977096364576964,1.0743074824813055,3.120114753327376,0.89803884682312,1.0492404646569158,3.088463528194516,0.9002022292244745,1.038893853172177,3.0348492686826885,0.9026007618868457,1.0679584254338523,3.0159431876969385,100
pu,9,0.8810609979777078,0.9042468137139632,1.1486149649626112,3.063678690683347,0.9029770023044725,1.067158914546395,3.007618868456944,0.9042938437661666,1.0518741475803037,2.9659972722569723,0.9041057235573532,1.0401166345294643,2.9580021633824014,0.9065983163241311,1.1543056012792174,3.022339274796595,15
sa,0,0.8850408314773571,0.9017446176688938,1.1979584261321454,3.1630660727542685,0.8999257609502599,1.085523385300668,3.0870081662954716,0.9007052709725315,1.0541202672605792,3.0400148478099482,0.902301410541945,1.0382702301410542,2.992242019302153,0.9067928730512249,1.1485152190051968,3.0126577579806977,5
