tile,size_km,size_px,n_cal,n_cal_sub,n_test,n_classes,is_A,is_B,is_C,is_D,cov_A,cov_B,cov_C,cov_D,best_r_sacp,best_r_geocp,best_bw_geocp,B_vs_A_pct,C_vs_A_pct,C_vs_B_pct,C_vs_D_pct,A_vs_D_pct,sd_q
polk_iowa,1.0,100,0,0,0,0,2.939,2.99,2.962,3.2649911816578485,0.9,0.9,0.9,0.9,3,2,50,-1.7352841102415841,-0.77,0.9364548494983286,9.28,9.98444294395679,0.0
polk_iowa,2.0,200,0,0,0,0,3.265,3.256,3.288,3.438251594687859,0.9,0.9,0.9,0.9,3,5,10,0.2756508422664729,-0.69,-0.9828009828009837,4.37,5.038944647201933,0.0
polk_iowa,5.0,500,0,0,0,0,3.409,3.337,3.355,3.5420185810810807,0.9,0.9,0.9,0.9,2,2,50,2.1120563215018957,1.58,-0.5394066526820436,5.28,3.7554456035767463,0.0
lancaster_pa,1.0,100,0,0,0,0,3.361,3.214,3.379,3.2403145377828926,0.9,0.9,0.9,0.9,2,10,20,4.373698304076175,-0.55,-5.1337896701929076,-4.28,-3.7244983722994918,0.0
lancaster_pa,2.0,200,0,0,0,0,3.445,3.287,3.289,3.4346282372598163,0.9,0.9,0.9,0.9,3,5,10,4.5863570391872255,4.52,-0.060845756008525216,4.24,-0.3019762845849743,0.0
lancaster_pa,5.0,500,0,0,0,0,3.435,3.321,3.372,3.5117683815871694,0.9,0.9,0.9,0.9,3,2,20,3.318777292576416,1.84,-1.5356820234868929,3.98,2.1860320284697514,0.0
hartford_ct,1.0,100,0,0,0,0,3.665,3.673,3.663,3.808484092326887,0.9,0.9,0.9,0.9,2,2,50,-0.21828103683492517,0.04,0.2722570106180297,3.82,3.7674856674856643,0.0
hartford_ct,2.0,200,0,0,0,0,3.423,3.446,3.414,3.7226038599934577,0.9,0.9,0.9,0.9,2,2,50,-0.6719252118025163,0.27,0.9286128845037732,8.29,8.04823374340949,0.0
hartford_ct,5.0,500,0,0,0,0,3.528,3.471,3.448,3.631767432062355,0.9,0.9,0.9,0.9,2,2,50,1.6156462585033997,2.27,0.6626332469029136,5.06,2.857215777262181,0.0
everglades_fl,1.0,100,0,0,0,0,2.835,2.745,2.805,3.042299349240781,0.9,0.9,0.9,0.9,3,10,20,3.1746031746031695,1.04,-2.185792349726778,7.8,6.813903743315513,0.0
everglades_fl,2.0,200,0,0,0,0,3.029,3.037,3.056,3.0896774845819435,0.9,0.9,0.9,0.9,3,3,50,-0.26411356883459913,-0.88,-0.6256173855778772,1.09,1.963877617801059,0.0
everglades_fl,5.0,500,0,0,0,0,3.066,2.974,2.936,3.0140642644492353,0.9,0.9,0.9,0.9,5,2,20,3.000652315720797,4.24,1.2777404169468813,2.59,-1.723113079019066,0.0
lubbock_tx,1.0,100,0,0,0,0,3.384,3.53,3.456,3.5951315926349734,0.9,0.9,0.9,0.9,2,2,10,-4.314420803782503,-2.13,2.0963172804532535,3.87,5.8727083333333345,0.0
lubbock_tx,2.0,200,0,0,0,0,3.276,3.243,3.176,3.3740571549984066,0.9,0.9,0.9,0.9,2,2,20,1.0073260073260049,3.05,2.065988282454509,5.87,2.9062090680100865,0.0
lubbock_tx,5.0,500,0,0,0,0,3.514,3.405,3.434,3.5112474437627816,0.9,0.9,0.9,0.9,2,2,20,3.1018782014797948,2.28,-0.8516886930983953,2.2,-0.07839254513684774,0.0
sacramento_ca,1.0,100,0,0,0,0,2.729,2.841,2.58,2.656507413509061,0.9,0.9,0.9,0.9,3,2,10,-4.104067423964826,5.45,9.186906019007395,2.88,-2.728868217054259,0.0
sacramento_ca,2.0,200,0,0,0,0,2.956,2.988,3.017,2.9972183588317107,0.9,0.9,0.9,0.9,10,10,50,-1.0825439783491213,-2.08,-0.9705488621151244,-0.66,1.3752204176334126,0.0
sacramento_ca,5.0,500,0,0,0,0,3.056,2.89,2.935,2.9335332333833084,0.9,0.9,0.9,0.9,10,10,20,5.431937172774867,3.96,-1.5570934256055338,-0.05,-4.174718909710392,0.0
phoenix_az,1.0,100,0,0,0,0,3.385,3.282,3.321,3.5020563112938943,0.9,0.9,0.9,0.9,2,2,20,3.0428360413589295,1.86,-1.188299817184648,5.17,3.342502258355921,0.0
phoenix_az,2.0,200,0,0,0,0,3.428,3.433,3.367,3.4927385892116183,0.9,0.9,0.9,0.9,2,2,50,-0.14585764294048698,1.78,1.9225167491989468,3.6,1.8535194535194561,0.0
phoenix_az,5.0,500,49993,19998,49994,6,3.457114853782454,3.370264431731808,3.341360963315598,3.5053606432771933,0.9000880105612673,0.901028123374805,0.90280833700044,0.9008280993719247,2,2,20,2.5122226400902594,3.3482801515896665,0.8576023929777498,4.678539432914688,1.3763431043042131,0.0567681867740029
