tile,feature_set,best_bw,n_test_full,mean_q,sd_q,range_q,mean_size_std,mean_size_sacp,mean_size_geocp
polk_iowa,sentinel2,1000,357247,0.8024433431367252,0.003178381433591992,0.01571641716097627,1.5385153689184234,1.35643126464323,1.369783371168967
polk_iowa,alphaearth,300,273139,0.797414214124092,0.017039206655935984,0.059698651885423115,1.4093446926290276,1.2713380366772962,1.2930852057011266
lancaster_pa,sentinel2,1000,357510,0.8013860739159565,0.0011545539958295451,0.005459106817673698,1.6167659645884032,1.4232524964336661,1.419853990098179
lancaster_pa,alphaearth,300,272927,0.7807989828964669,0.008514183433765225,0.04681660237655838,1.3340563593928048,1.2057473243761152,1.2015630553224854
hartford_ct,sentinel2,300,357514,0.8039883695596695,0.013437627256657501,0.0504041268453459,1.6408056747428073,1.4630476009331104,1.4596519297146406
hartford_ct,alphaearth,300,272930,0.788056852953097,0.019268334001331055,0.06784120068880428,1.4150881178324113,1.2641556443044004,1.2685340563514453
everglades_fl,sentinel2,1000,357246,0.7537137626169664,0.0042440410727708384,0.01883237274103755,1.0285629510197456,0.9683831309517811,0.9721368468786215
everglades_fl,alphaearth,300,272930,0.7270606688611826,0.004358137321749914,0.016108493862111106,0.9032096141867878,0.9046532077822153,0.9015828234345803
lubbock_tx,sentinel2,300,357514,0.8452827617537179,0.013042137093707227,0.0656222775578752,1.6184345228438606,1.4880676001499242,1.5255542440296044
lubbock_tx,alphaearth,300,273396,0.7987509220512665,0.031051541790875502,0.11245702667764435,1.3487724765541558,1.2223916955624807,1.2064112130389617
sacramento_ca,sentinel2,100,357514,0.758303213370911,0.043233767446143066,0.18117103343314156,1.276808740357021,1.1138836521087285,1.1295277947157314
sacramento_ca,alphaearth,300,273397,0.7905812761227471,0.014392825778288796,0.05920331013565605,1.411782133673742,1.2688251882793153,1.277285412787997
phoenix_az,sentinel2,1000,357247,0.8647344410702548,0.0010821646931781597,0.004378134701084724,1.5282059751376498,1.4174310770979182,1.4285438366172425
phoenix_az,alphaearth,300,273153,0.8557411382633542,0.00812477328315334,0.04747524204785014,1.3701991191749678,1.2749374892459537,1.2787668449550251
yellowstone_wy,sentinel2,1000,357514,0.7757304601897508,0.0023450905826190795,0.007754857494070677,1.3644164983748888,1.232824448832773,1.2330733901329738
yellowstone_wy,alphaearth,1000,272930,0.7401594357503948,0.001255987694463557,0.0063426904881970225,1.126336423258711,1.0258491188216758,1.0291906349613453
seattle_wa,sentinel2,300,356980,0.7737150334465694,0.01797328974075508,0.07780951628678023,1.2071516611574877,1.108644742002353,1.1172614712308813
seattle_wa,alphaearth,300,272920,0.754185306542235,0.011140156796659475,0.044333012766075375,1.0925912355268943,1.0256778543162832,1.0284369045874249
mississippi_la,sentinel2,1000,357514,0.7365435576739361,0.0004486328312265297,0.0019151498251517296,0.997057457889761,0.9541920036697864,0.9567765178426579
mississippi_la,alphaearth,1000,273170,0.7299741112226509,0.0007422908150285905,0.002676954335508075,0.9227477395028737,0.9136618223084526,0.9133286964161511
